,Time Interval Circuities,,,,,,,,
,10,20,30,40,50,60,70,80,90
Atlanta,1.3810679080102386,1.3087124907830403,1.2678601947095567,1.2411800167011908,1.2210426501549614,1.2084405776911233,1.1994894097934046,1.1933849385737794,1.1877771935320718
Austin,1.4404458654112589,1.3723222910878397,1.3315156958904781,1.3069706181282645,1.2879992795041273,1.2747371883868555,1.2686558801685661,1.2630063192455665,1.2582890434326388
Baltimore,1.3822949804670155,1.3092658889264803,1.2716628995034032,1.2476796419595966,1.2338763577562017,1.2261163596071283,1.2246097283275779,1.2268115098360695,1.233741596511127
Boston,1.3221707933341669,1.2579493722607327,1.225852846145757,1.2078231024802963,1.195686608276367,1.1905717622441363,1.1860014644783186,1.1822577092208564,1.1792959449191527
Buffalo,1.2726128167623416,1.224218672913259,1.2021720891550782,1.1895929057749248,1.1803913897988716,1.1734589731007847,1.1689289949876671,1.1659230811658463,1.1646573299473928
Charlotte,1.3548292070349812,1.2718268758603823,1.240603054702388,1.2259980336163547,1.219339743976918,1.2204535484710273,1.2189910044278438,1.2188102793904707,1.2184606076717244
Chicago,1.3236002256090809,1.2622043331825756,1.237014203266307,1.215897633709179,1.2018060236875545,1.1904326141515926,1.182395855959736,1.1765397413486474,1.1715001469840343
Cincinnati,1.4101242469920043,1.3346635676863023,1.3006549921101749,1.2806447263853369,1.2719049532677678,1.266293479915514,1.2682519023005123,1.2721393245922437,1.2779855759070877
Cleveland,1.2785144324718047,1.2210242271152514,1.1941029193577641,1.1762375387586297,1.1657850372312006,1.1590296676460083,1.1538473690936333,1.1513174285753958,1.1498564950576229
Columbus,1.3249637252937287,1.247954909153181,1.2132024431612698,1.1959404878863944,1.184989187914482,1.1775894338342325,1.172494087107976,1.168776185431562,1.1666680790044779
Dallas-Fort Worth,1.3824701219183075,1.3241222203723044,1.2867507208792124,1.2625860685913481,1.2464302544174806,1.2313593343456124,1.2194440762579295,1.2096246171132026,1.2015060407013247
Denver,1.3957008737903487,1.382383812463321,1.3693023353302707,1.3585032737296159,1.3458448279862103,1.338527756308961,1.332588071446608,1.3292653370679421,1.3276510683394664
Detroit,1.3026208565751525,1.246103728819398,1.2213340937624941,1.2059623625482374,1.1960712699174072,1.1893966318471174,1.184359051274878,1.1812733520638485,1.1793589097336392
Grand Rapids,1.3210528558171648,1.276401235569196,1.2534629398347654,1.2427824351070944,1.2372127864425393,1.2335421845251597,1.2332093689133028,1.2343026815133216,1.2368611790095092
Hampton Roads,1.404082410081675,1.3392188111212502,1.3109661328414999,1.3015601427125245,1.3069173513439627,1.3154823264242705,1.3238381040403082,1.3331220930334835,1.3441760531206133
Hartford,1.3288885485099737,1.2718012066329836,1.2482031115877554,1.2343532827288761,1.2269265395465623,1.222907563059109,1.2212395547829722,1.2209157982173557,1.2211596606105135
Honolulu,1.4170125027894218,1.4172580385913462,1.4345819636227921,1.4322616900458065,1.4435399462955427,1.4453004287893763,1.4457945737747382,1.4620608998697906,1.4625638767711695
Houston,1.4112669682919152,1.3398457759675975,1.3068171566560105,1.2834405439564254,1.2654610127146704,1.2531681942574937,1.244523848534959,1.2376203077049825,1.232150114435076
Indianapolis,1.3307390130691796,1.271809639354645,1.2377454480083434,1.217214506898558,1.2032297568764418,1.1942370623952343,1.1881337656936146,1.1835544609982929,1.1802346118410132
Inland Empire,1.3734377415845354,1.3661627731164396,1.3623371102112816,1.35986028467875,1.3524307658097707,1.3458390291766396,1.340855665082751,1.3360729352383633,1.330115441516819
Jacksonville,1.3923352643282094,1.3647991426543529,1.3385303871253407,1.3181635459497134,1.3025038256942751,1.291552719838574,1.2868751983865299,1.2841484821523987,1.2812723689433594
Kansas City,1.3476779649684636,1.2987080429934756,1.2759958465633252,1.2592053557284943,1.2489204814532937,1.2416589206724986,1.2339380343866972,1.2277932150007076,1.2226839970421781
Las Vegas,1.3286382614132926,1.3223049937334725,1.3201192530937347,1.3200789561058746,1.3166391133124675,1.3134289998384046,1.3118575590900703,1.3133868922800092,1.3159071047354585
Los Angeles,1.3492227990003094,1.280908423606628,1.2573733592111536,1.2436425461187828,1.2373045629983925,1.234819235892737,1.2372388226799365,1.2425894448042694,1.2534168829186265
Louisville,1.415233679267091,1.3522400482999783,1.3257298869873992,1.3143591509138175,1.3072061245298374,1.3030928137601026,1.3035823978090557,1.3108224413438658,1.3216362304730513
Memphis,1.3836709660756512,1.3247813076937356,1.2910194406980002,1.2669879637731756,1.2518208107538271,1.2434385553193854,1.2390192666572288,1.2370359335006367,1.2355569211642343
Milwaukee,1.259277972938473,1.2090730434913919,1.1867090038683803,1.175179855107369,1.1682466585186182,1.1641474476052645,1.1632682250826336,1.1639337982848545,1.1642077478462736
Minneapolis-St.Paul,1.367956699688347,1.3031870861864812,1.2701199260392533,1.2488143236567024,1.2342826281339614,1.2240781563469771,1.2154627812004615,1.2097168280185802,1.2049005979112202
Nashville,1.4297597712771255,1.359871384808002,1.3223570330949683,1.2979029443773333,1.2809747773730242,1.2671990831726268,1.256154400874191,1.2471312517026993,1.2404771540001511
New Orleans,1.416322547079509,1.3838875737878413,1.3489148947289156,1.3389833968635285,1.3343557809401991,1.3385224152730324,1.3505891851756389,1.3695515239576628,1.3966039300244457
New York,1.3157627494011674,1.2629348483479246,1.2364276854478877,1.222552045843428,1.213694116825805,1.208396652771828,1.205914352002741,1.2046254703094295,1.2044434075797017
Oklahoma City,1.3330075580666654,1.302577181329865,1.2782037611934325,1.2586490530021517,1.243847517949237,1.2344875734787604,1.227948305822975,1.2226100071300814,1.2192662129771015
Orlando,1.4073453796667255,1.368037812411222,1.3529409382116724,1.3357222696848219,1.3227647345428062,1.3109961293844155,1.3015389438384548,1.2938955646318264,1.287340449469058
Philadelphia,1.2908066509637137,1.221294302281372,1.20124627478735,1.1855169545716866,1.1733077141049333,1.1653283208068956,1.1592931878775155,1.153822612145486,1.1493697375302219
Phoenix,1.344427913754184,1.3330034239016018,1.3052617006945595,1.2881022315645838,1.2802850434359947,1.2712116017778166,1.2658272140371463,1.2585556789471462,1.2523532277965723
Pittsburgh,1.4115605231076185,1.3399770609126298,1.3051406812780726,1.2817943808930483,1.2648153813211274,1.2535936164248203,1.245412074800628,1.238920592591702,1.2344561116309156
Portland,1.5301276739734433,1.4913588455422746,1.4731281162210448,1.456269971547138,1.4407046826983154,1.4297790976947944,1.4261614774445286,1.4293416108501145,1.4320189723752634
Providence,1.3413795461632436,1.2792927288201636,1.249214553394799,1.2359886141697098,1.2335825315465978,1.2346713669311957,1.2378648301781199,1.2391867314568445,1.2398242295003903
Raleigh,1.3599560158886321,1.2841673699040268,1.2442193027437145,1.2214655452556848,1.205287459552572,1.1953550018287182,1.1908050726732355,1.188697239807107,1.1881349038874762
"Rochester, NY",1.3054372101690606,1.2619074783498458,1.235017216450139,1.2194277529157018,1.2093921289472145,1.2027779213679537,1.1983418382894222,1.1972716138765835,1.1976784755170091
Sacramento,1.4338792967235054,1.4013492588209344,1.4014419587257636,1.400056122836252,1.3967920476447633,1.3967267442968094,1.3968698866346807,1.396881747806089,1.3982014018055617
Salt Lake City,1.3973954385618328,1.375166222769001,1.37473562290319,1.3815334547515212,1.3850097173055014,1.389992556329186,1.392535279077659,1.3909277673330938,1.3874547008609153
San Antonio,1.4317823771593792,1.3730841421652697,1.3398515854253352,1.3117239067101567,1.2913153607253793,1.2757965860482567,1.2642616847774233,1.2555532060267511,1.2491587964112882
San Diego,1.4519495177769537,1.4206259686722074,1.4062579681100151,1.4002313458230131,1.3933131344330476,1.3922798957924276,1.388411640565134,1.3873822171543784,1.387483914467795
San Francisco,1.4529772069649314,1.4357618484653247,1.424503733426794,1.4139365512475086,1.4012673218427656,1.3884703455577154,1.380969480590264,1.3779719461955984,1.3798353964556946
San Jose,1.3990667972183513,1.4014055067960625,1.3973659459287573,1.4014142336739903,1.4030034944504302,1.400679724544437,1.390719665503456,1.369575739479599,1.353868833118102
Seattle,1.4725838457083096,1.4789578076803838,1.4529281790243918,1.43645368206512,1.4185698685624268,1.405297756277678,1.398191420136368,1.3911691748531416,1.3877189496448212
South Florida,1.336871859668785,1.2828613575676235,1.2629261489074812,1.2494539986202935,1.2404318709255826,1.2361288587570294,1.2330872661002497,1.2273165367301029,1.2208577984067597
St. Louis,1.443560196227148,1.399372508003506,1.3725412244961106,1.3484888260380745,1.3285645889956852,1.313394987102012,1.3009918403315728,1.293200263777403,1.286841212715055
Tampa Bay,1.3634427948695305,1.3116335868847857,1.288975134924683,1.2770054812680482,1.270428052024559,1.264854950694025,1.2632713910422415,1.261409388199902,1.2582428496249867
Washington,1.428075576367832,1.358607266196716,1.3128038200118335,1.290355289731063,1.2769936789718903,1.271908405391577,1.267661900840625,1.2644910226602037,1.2618164588235785
